name,lat,lon,type,rating,user_ratings_total,photo_reference,amenity_score
Oceanário de Lisboa,38.7635435,-9.0937415,Viewpoint,4.7,99566,places/ChIJCVgOdYMxGQ0RMOFiOmcuP5g/photos/ATCDNfU9HOd4nHZlNwKFuaG7r35-K8_xaUY1lU8UBOtPLJrEZznXyqXgo2uH2hq7DoVmRbFRjDwYVaGm8NB9JDkH4jhvcjBNy2OqVHD76mZV16JDwDH55hHE5AKx3NasSbDcBSLiHVybGio1Ql6CEAjn-NCDAaQwVxnS9-lemqoWbPxGXgcplKZsQqV6vPiLUBo-4SVZf4Cuv2LXc-l2NEQkBur_4J5jkyvy6T9FHPFCU8cgKLu4tiWk2P7T7AhvnXplrFxxYeu5ocglzl4w7nrLjL_VNZgbJEwDKLe9QDcFySUeuroqx-MAXHoWDO-sIhkvLzveWZZgg9egzm2lJ_7Ru6q6basqdGiMOQnR6LiIYKf9ZfCG0cWYpzPrOo4x_NpJM7eT8qgsqyvaT3p0nwnz5qiM5880B7raNUx1wbYyp2U,50
Praça Marquês de Pombal,38.725254899999996,-9.150029199999999,Viewpoint,4.6,10406,places/ChIJqYQ8InczGQ0REe2iX2I1ujs/photos/ATCDNfV06tQNjT0vWi2kauhiZ05yGQkEyVQ87WGHQlV9YBYUl02IizTYvca7A7eTJ1_iI9RbbYbXM0iukqMrJ9Dq4BdOErDuB86yfIE1WUCf9cgRi4LYReDhRuHqbt2CelyPRWyCuysTgk_6LqrkCBeZZg57V273iPbBWU3J1iQm6fFvhOa0mdG6F8UTWHzvmqUDQjIdwaHQ_MgAP5bjFDreMJ2PWTBzqrSU-rp7XAbAf2pfnvCyOyios0TmnnLLjuwd-gZR5EzmA8wkqYqZ1TWOn228ryk60AoPSVf7ropZmBE55WLPJ3p9xTbTVStDgtM0W2XkA7aS-4Id7mocUykwPNLoJ_jiz-mVU59sWGPXJ_eXEdWOhwucT3fHeXczHw4o_I2HULCtJU_W7dsMNwq20J9U4g5QQ_W4hSDk7XwHhcp6wg,50
Miradouro de Santa Luzia,38.7116956,-9.1301972,Viewpoint,4.7,40812,places/ChIJx-Rwl4QzGQ0RaSfN7SE7IEE/photos/ATCDNfV2-9Scfi6oqRX6FDuelvDF0ExkE0lJNkhEPHj6NzyJkcQnaxDQgWRZs-zigwE81UW-JInfk9viu4B3rdfSiYo4zxotX128ioXyHGzkfeTIiLyoaW0k2ds5dmnyGRl1EixDubsOGCfIEAfSpH1jzgR9zBrMyMTw8fhP3rAU6hRaGavVpU5wP9S6VGS1PuYkg4EUJeip39L_11YR1IPHmkMshfJwgYaWauKCbinP5yfMWsh5dG7-WPOBXxwcs21v8E13OZNwTeH_vsNISaOfaTjOkfsZe9VJSwpokXyk4NOD2aghJ9XLvCSS4dAyU2s9m1Rx8Jn0iGm2lyH8RjZ4akNuVSXhYRcCL4kDoqV1rJQta7Uqzlq-Gee0_diEn8Ojv2ZtZevPH2oTiDWhGDDOmKFUFu2kDRnNvEdmf12rfT8Dxg,50
Pink Street,38.707246399999995,-9.1437847,Viewpoint,3.8,9661,places/ChIJgfPj-i41GQ0RHqt7A8M62Jg/photos/ATCDNfUTASy30YThkVxs-ohkDl9jdSItgn06a0TjCvw9yXc8YmOgsO3ullEn503P0TZZc4BCFNXza-PoZc7197K7No1Fidyc6RwwvdMYjTbWCDCx7v4pgSTWN4aa9ce2Yudb3YDgcGp0FSHxm1klYltdmcuDL0jCvnbJFAPDiGoV0-B8aoAWnHptLD72uxXN0pqisdZ2aPvR1zsLem17B2y06PtXRY8Nyh05QnhMwi77aobiIoyAqQpT51140K59w15kjAfpBGxaMLU6DxZErm2It5oSK0HdojSBEn-yXcdBT_uR7ec7tojTxB8KyhMAsOPkGnodLDR2uM_-gM8vFiW6SP381YblfVN1jpY3-3FwGFbGWGBW8HpQwHWIV1qUDYWJRifB1LXMqNQuOsBpicfaGb4gfxeV6myn1TQQp7Qwn4UYTd4Au02ontjJwqPHfQ,50
Lisboa Camping,38.72477,-9.207230299999999,Campsite,3.5,5970,places/ChIJi6p3bLnMHg0RrcS6D_3ohB4/photos/ATCDNfXybrOOVAh4nA_GjUWOoc-k9XbJwSImZMLYCoP3Ho52xyxQ_9ILEVrF6xLbMAqRV1GacEW75DjZ1wFH0F_fwR_YAMFVvQw79Xqvl6tIiggr8qHLUXWGn2WCCI9ULK4idkynIG7EYWtLxQwD9OzoiYYz1NanKnxIyjDCRW2Jaxa1epcOh3Wd9OVSV9PIbNXQMzmAUDWADaaSK5pSbGH5UYLPCR896IF62fOOpXVp5GkCPxkEdS8R2POAZcnpJeKBZlXJF8tvbwCzJTonADACJq_GgPznUII6Ao0RmVbzxln9AFNvXJGgjtg4pId5Bks7Oud1Dk_Lkna1Lt4HYvcKSokk8G3Hu7F4Az29AxJ3rPCJjT9zjeBgOQfuI-s5v3F80fC0YEmo78cBvkoZ24ciOn_5Hm1-aAGIIoROV8gQ1iL0V6E,50
Orbitur Costa de Caparica,38.652543099999995,-9.2386157,Campsite,3.9,1902,places/ChIJvX8FSlHKHg0Ra9eubyQxSP4/photos/ATCDNfUqSur-msJEtrooYPSMUAP5hHoOXujQFAo9c4NlER2NIPleS_8DBoyhVxHwv__IeRPzSEzxvDlNRmUViJPAMSkdM-OLvJTlcPOe3XvfQQxEdzWp18PGgr4h6gmfcBTXXxYSJw9mdOFqFJxRshnf6JqNkxdWODIdvc-JrfKRHyz8ueg3XvXRoJ05NSsjHAB-6dezAz0SgpVuTCTh_JMa7iHNIzNsJXolzU1DjeSlaufvXWkd3qPO2LNPA4sW3u3rQTD7VSltLQf1jiV8LZLxwAk1qbyG5DEzl7_C3IE1iuH13w,50
Camping Club Almada Municipality,38.6330364,-9.227523,Campsite,4.2,1901,places/ChIJl4lWeoXKHg0RALQN0r7rAB0/photos/ATCDNfXHbw8PWcXo9bT9SGPCbUQ-yi1Dtu2Y5olsvqdQy1KH8nEn4bncjAtpk27XTy0wUGxMhic8mlUmOW7Tu9ML3Upe5bb3dplu9Y1sRz2SU0mkBBfN4outdSw31idkKkwZhVqYUtqYcbobKK3kOtmOlHtXegsMiuPp9gMc5w24MKmFHCfoQIb3yg9rhjLD1bxC-bKxoXeoSUa-7QO8eGqaV-FYH_m6PJaBBMWFZdXR2k2pUelRnqWxmZgAIEEDYkx-Jl65WYmO8U_0J87jRlpnMl_9yxt4lOKFFhEKE7IxcUxN1_AslRJm3-NoDbVgGSqSIXCVeA6gS27xi-oJwQJwV62rTXzRGaw30TbtrEHtLOpy_8_tvYF3iUlOZwh2Exv59bVn7nEjgxFAso-DMr8s-rHd6gQPjcGSkDR76axcQCNzPs-L,50
SFUAP - Parque de Campismo Piedense,38.6292512,-9.2230037,Campsite,4.1,1151,places/ChIJOW0mypzKHg0RIdEFrL40Agk/photos/ATCDNfXJTgTtzZsXnoRVT-GsExOEyaFx5UlDSnkxjmAk5R5SijOWuDCX462OjrAue1qnVjvk_O1Cs_Cr0sUsIPF0jIf7yi9Pt7LwWbJ09Om02B3_7cXClwOs3hhGjAbKTxKmhd2qS1fxg3ZW0JC8yGiGY_SrO0-FmLf2yWUPKbNtz17obqr3QDd6OD4y_4K1dVOvvZ2AayHMi29oRWHEs-2nf-NWbF6WoTZjulHcpic9wMkOLy1-niICxkE19vnyHRdMoXqIU8VE-D-EYsv-jlrqY_LGdgOIDf0gOzPtzDdtgt4QWlRwG_tfuVSyLEiURypb_4LbVggB8qCGCtmoiw8Th_vu9knqGTVUyOD_xTP2-BlwrA1hJ1IL4CpEcKvV8_UHB_gw1hpYTGZ6FnOgG3ddGTGSTrztMXbln8rdknX0Bd4jNl6u,50
Kampaoh Lisboa,38.7247343,-9.207239,Campsite,4.8,171,places/ChIJyQafQ4DNHg0RvxN1eqDVVAo/photos/ATCDNfWNo3_Znuac48V_0tKUnGpfeg8GSmOgLWKuEH2EKGXUXvGpMcIjH4BhyKcW39xN2fI81ue_tlQZW9G84MLRzj5iQowrwl-Edhe5jHvaQbswwoHq5PlRPTXTzGaQLRik0ztumGIkebt9Cg6kxx1zm-IeViDI1NJvmuR45JO3qg1iYh8jjJSJNrDokcld0Fu0pIr2EiafpgkGUVgXF1RrlnZKrF4P9mHbFfZfuku1jy6Jqf7jJss3MAydR4_JMHbn8GXXVmQgF60n8PXULvRUCikSgOq-Q1_dtB3DhCJ2MSrjLg,50
Parque de Campismo do CCL - Costa Nova,38.6305438,-9.2252093,Campsite,4.2,525,places/ChIJqSar-oTKHg0RPPFh8cLNpTI/photos/ATCDNfWzEJObbfq1ZgbZG7dEmqqCaVIlkUU5kqrYgyZlzE5HE3PFMWqrka-wJj3hagP_wHLyWRIceQah7ZQH2FouenD_xRPzccfPLeR5pgk7rFqR0_fusPJAuZWMvTJSl4wPAVWUllxqOlpA2V888UWfBo9sNvRpnB-33bRcDJXQDm_XIE5NGrjW4vb6fFIXMCZdfUpRGEA99AN9RXPuAx6OM2Q4GQLBI8DIFMgIxpRrLugAg3YJPwu44ZbFp9vfL3Xx8dPtn4DMqXWEu0DgoOeJPalOibfrLigxW_G4HLmHKgC8EQiuF6jubL5vdvFlrcMrxjwEeTY-cq3E8Kuq1C_V5V_zrhoz245_NLCpyjmLC6gWqGTD1S5CU3BFlnH_geDQH-ZY8u53ViYMBqKId5LLVEzpgTIuPUrehyhx4XBShZb86g,50
